"Code","Name","Status","Accepted Name","Family","Name Source","Level","Category","Habit"
"abroth","Abrothallus De Not.","accepted","Abrothallus De Not.","Abrothallaceae","CNALH","genus","lichen","lichen"
"abrpar","Abrothallus parmeliarum (Sommerf.) Arnold","accepted","Abrothallus parmeliarum (Sommerf.) Arnold","Abrothallaceae","CNALH","species","lichen","lichen"
"abrpey","Abrothallus peyritschii (Stein) Kotte","accepted","Abrothallus peyritschii (Stein) Kotte","Abrothallaceae","Dillman et al. 2012","species","lichen","lichen"
"abrsec","Abrothallus secedens Wedin & R. Sant.","accepted","Abrothallus secedens Wedin & R. Sant.","Abrothallaceae","Spribille et al. 2010","species","lichen","lichen"
"abrwel","Abrothallus welwitschii Mont. ex Tul.","accepted","Abrothallus welwitschii Mont. ex Tul.","Abrothallaceae","Spribille et al. 2010","species","lichen","lichen"
"acaros","Acarospora A. Massal.","accepted","Acarospora A. Massal.","Acarosporaceae","CNALH","genus","lichen","lichen"
"acaame","Acarospora americana H. Magn.","accepted","Acarospora americana H. Magn.","Acarosporaceae","CNALH","species","lichen","lichen"
"acacin","Acarospora cinereoalba Fink ex H. Magn.","synonym","Acarospora americana H. Magn.","Acarosporaceae","CNALH","species","lichen","lichen"
"acasup2","Acarospora superfusca H. Magn.","synonym","Acarospora americana H. Magn.","Acarosporaceae","CNALH","species","lichen","lichen"
"acabad","Acarospora badiofusca (Nyl.) Th. Fr.","accepted","Acarospora badiofusca (Nyl.) Th. Fr.","Acarosporaceae","CNALH","species","lichen","lichen"
"acabou","Acarospora boulderensis H. Magn.","synonym","Acarospora badiofusca (Nyl.) Th. Fr.","Acarosporaceae","CNALH","species","lichen","lichen"
"acafus","Acarospora fuscata (Schrad.) Arnold","accepted","Acarospora fuscata (Schrad.) Arnold","Acarosporaceae","CNALH","species","lichen","lichen"
"acacar","Acarospora cartilaginea H. Magn.","synonym","Acarospora fuscata (Schrad.) Arnold","Acarosporaceae","CNALH","species","lichen","lichen"
"acagla","Acarospora glaucocarpa (Ach.) Körb.","accepted","Acarospora glaucocarpa (Ach.) Körb.","Acarosporaceae","CNALH","species","lichen","lichen"
"acarug","Acarospora rugulosa Körb.","accepted","Acarospora rugulosa Körb.","Acarosporaceae","Dillman et al. 2012","species","lichen","lichen"
"acasch","Acarospora schleicheri (Ach.) A. Massal.","accepted","Acarospora schleicheri (Ach.) A. Massal.","Acarosporaceae","CNALH","species","lichen","lichen"
"acaalb","Acarospora albida H. Magn.","synonym","Acarospora schleicheri (Ach.) A. Massal.","Acarosporaceae","CNALH","species","lichen","lichen"
"acaama","Acarospora amabilis H. Magn.","synonym","Acarospora schleicheri (Ach.) A. Massal.","Acarosporaceae","CNALH","species","lichen","lichen"
"acabel","Acarospora bella (Nyl.) Jatta","synonym","Acarospora schleicheri (Ach.) A. Massal.","Acarosporaceae","CNALH","species","lichen","lichen"
"acachr","Acarospora chrysops (Tuck.) H. Magn.","synonym","Acarospora schleicheri (Ach.) A. Massal.","Acarosporaceae","CNALH","species","lichen","lichen"
"acacon","Acarospora contigua H. Magn.","synonym","Acarospora schleicheri (Ach.) A. Massal.","Acarosporaceae","CNALH","species","lichen","lichen"
"acadis","Acarospora dissipata H. Magn.","synonym","Acarospora schleicheri (Ach.) A. Massal.","Acarosporaceae","CNALH","species","lichen","lichen"
"acaepi","Acarospora epilutescens Zahlbr.","synonym","Acarospora schleicheri (Ach.) A. Massal.","Acarosporaceae","CNALH","species","lichen","lichen"
"acaevo","Acarospora evoluta H. Magn.","synonym","Acarospora schleicheri (Ach.) A. Massal.","Acarosporaceae","CNALH","species","lichen","lichen"
"acaint","Acarospora intercedens H. Magn.","synonym","Acarospora schleicheri (Ach.) A. Massal.","Acarosporaceae","CNALH","species","lichen","lichen"
"acaoce","Acarospora ocellata H. Magn.","synonym","Acarospora schleicheri (Ach.) A. Massal.","Acarosporaceae","CNALH","species","lichen","lichen"
"acarha","Acarospora rhabarbarina Hue","synonym","Acarospora schleicheri (Ach.) A. Massal.","Acarosporaceae","CNALH","species","lichen","lichen"
"acarim","Acarospora rimulosa H. Magn.","synonym","Acarospora schleicheri (Ach.) A. Massal.","Acarosporaceae","CNALH","species","lichen","lichen"
"acarub","Acarospora rubicunda H. Magn.","synonym","Acarospora schleicheri (Ach.) A. Massal.","Acarosporaceae","CNALH","species","lichen","lichen"
"acasub1","Acarospora subalbida H. Magn.","synonym","Acarospora schleicheri (Ach.) A. Massal.","Acarosporaceae","CNALH","species","lichen","lichen"
"acasub2","Acarospora subcontigua H. Magn.","synonym","Acarospora schleicheri (Ach.) A. Massal.","Acarosporaceae","CNALH","species","lichen","lichen"
"acaxan","Acarospora xanthophana (Nyl.) Jatta","synonym","Acarospora schleicheri (Ach.) A. Massal.","Acarosporaceae","CNALH","species","lichen","lichen"
"acasin","Acarospora sinopica (Wahlenb.) Körb.","accepted","Acarospora sinopica (Wahlenb.) Körb.","Acarosporaceae","Spribille et al. 2010","species","lichen","lichen"
"acasup","Acarospora superfusa H. Magn.","accepted","Acarospora superfusa H. Magn.","Acarosporaceae","McCune et al. 2018","species","lichen","lichen"
"acaver","Acarospora veronensis A. Massal.","accepted","Acarospora veronensis A. Massal.","Acarosporaceae","CNALH","species","lichen","lichen"
"caerul","Caeruleum K. Knudsen & L. Arcadia","accepted","Caeruleum K. Knudsen & L. Arcadia","Acarosporaceae","CNALH","genus","lichen","lichen"
"caehep","Caeruleum heppii (Nägeli ex Körb.) K. Knudsen & L. Arcadia","accepted","Caeruleum heppii (Nägeli ex Körb.) K. Knudsen & L. Arcadia","Acarosporaceae","CNALH","species","lichen","lichen"
"acahep","Acarospora heppii (Nageli ex Hepp) Nageli ex Körb.","synonym","Caeruleum heppii (Nägeli ex Körb.) K. Knudsen & L. Arcadia","Acarosporaceae","CNALH","species","lichen","lichen"
"eigler","Eiglera Hafellner","accepted","Eiglera Hafellner","Acarosporaceae","CNALH","genus","lichen","lichen"
"eigfla","Eiglera flavida (Hepp) Hafellner","accepted","Eiglera flavida (Hepp) Hafellner","Acarosporaceae","CNALH","species","lichen","lichen"
"aspfla","Aspilicia flavida (Hepp) Rehm","synonym","Eiglera flavida (Hepp) Hafellner","Acarosporaceae","CNALH","species","lichen","lichen"
"lecfla1","Lecanora flavida Hepp","synonym","Eiglera flavida (Hepp) Hafellner","Acarosporaceae","CNALH","species","lichen","lichen"
"glypho","Glypholecia Nyl.","accepted","Glypholecia Nyl.","Acarosporaceae","CNALH","genus","lichen","lichen"
"glysca","Glypholecia scabra (Pers.) Müll. Arg.","accepted","Glypholecia scabra (Pers.) Müll. Arg.","Acarosporaceae","CNALH","species","lichen","lichen"
"acasax","Acarospora saxicola Fink","synonym","Glypholecia scabra (Pers.) Müll. Arg.","Acarosporaceae","CNALH","species","lichen","lichen"
"acasca1","Acarospora scabra (Pers.) Th. Fr.","synonym","Glypholecia scabra (Pers.) Müll. Arg.","Acarosporaceae","CNALH","species","lichen","lichen"
"myrios","Myriospora Nägeli ex Hue","accepted","Myriospora Nägeli ex Hue","Acarosporaceae","CNALH","genus","lichen","lichen"
"myrhas","Myriospora hassei (Herre) K. Knudsen & L. Arcadia","accepted","Myriospora hassei (Herre) K. Knudsen & L. Arcadia","Acarosporaceae","McCune et al. 2018","species","lichen","lichen"
"acahas","Acarospora hassei Herre","synonym","Myriospora hassei (Herre) K. Knudsen & L. Arcadia","Acarosporaceae","McCune et al. 2018","species","lichen","lichen"
"myrsca","Myriospora scabrida (Hedl. ex H. Magn.) K. Knudsen & L. Arcadia","accepted","Myriospora scabrida (Hedl. ex H. Magn.) K. Knudsen & L. Arcadia","Acarosporaceae","CNALH","species","lichen","lichen"
"acasca2","Acarospora scabrida Hedl. ex H. Magn.","synonym","Myriospora scabrida (Hedl. ex H. Magn.) K. Knudsen & L. Arcadia","Acarosporaceae","CNALH","species","lichen","lichen"
"myrsma","Myriospora smaragdula (Wahlenb. ex Ach.) Nägeli ex Uloth","accepted","Myriospora smaragdula (Wahlenb. ex Ach.) Nägeli ex Uloth","Acarosporaceae","CNALH","species","lichen","lichen"
"acasma","Acarospora smaragdula (Wahlenb.) A. Massal.","synonym","Myriospora smaragdula (Wahlenb. ex Ach.) Nägeli ex Uloth","Acarosporaceae","CNALH","species","lichen","lichen"
"pleops","Pleopsidium Körb.","accepted","Pleopsidium Körb.","Acarosporaceae","CNALH","genus","lichen","lichen"
"plechl","Pleopsidium chlorophanum (Wahlenb.) Zopf","accepted","Pleopsidium chlorophanum (Wahlenb.) Zopf","Acarosporaceae","CNALH","species","lichen","lichen"
"acachl","Acarospora chlorophana (Wahlenb.) A. Massal.","synonym","Pleopsidium chlorophanum (Wahlenb.) Zopf","Acarosporaceae","CNALH","species","lichen","lichen"
"acaery","Acarospora erythrophora H. Magn.","synonym","Pleopsidium chlorophanum (Wahlenb.) Zopf","Acarosporaceae","CNALH","species","lichen","lichen"
"acainc","Acarospora incertula H. Magn.","synonym","Pleopsidium chlorophanum (Wahlenb.) Zopf","Acarosporaceae","CNALH","species","lichen","lichen"
"acanov","Acarospora novomexicana H. Magn.","synonym","Pleopsidium chlorophanum (Wahlenb.) Zopf","Acarosporaceae","CNALH","species","lichen","lichen"
"acatex","Acarospora texana H. Magn.","synonym","Pleopsidium chlorophanum (Wahlenb.) Zopf","Acarosporaceae","CNALH","species","lichen","lichen"
"acawel","Acarospora weldensis H. Magn.","synonym","Pleopsidium chlorophanum (Wahlenb.) Zopf","Acarosporaceae","CNALH","species","lichen","lichen"
"plefla","Pleopsidium flavum (Bellardi) Körb.","accepted","Pleopsidium flavum (Bellardi) Körb.","Acarosporaceae","McCune et al. 2018","species","lichen","lichen"
"acafla","Acarospora flava (Bellardi) Trevis.","synonym","Pleopsidium flavum (Bellardi) Körb.","Acarosporaceae","McCune et al. 2018","species","lichen","lichen"
"polysp","Polysporina Vězda","accepted","Polysporina Vězda","Acarosporaceae","CNALH","genus","lichen","lichen"
"polsim","Polysporina simplex (Davies) Vězda","accepted","Polysporina simplex (Davies) Vězda","Acarosporaceae","CNALH","species","lichen","lichen"
"biasim","Biatorella simplex (Davies) Branth & Rostr.","synonym","Polysporina simplex (Davies) Vězda","Acarosporaceae","CNALH","species","lichen","lichen"
"sarsim","Sarcogyne simplex (Davies) Nyl.","synonym","Polysporina simplex (Davies) Vězda","Acarosporaceae","CNALH","species","lichen","lichen"
"sarcog","Sarcogyne Flot.","accepted","Sarcogyne Flot.","Acarosporaceae","CNALH","genus","lichen","lichen"
"sarreg","Sarcogyne regularis Körb.","accepted","Sarcogyne regularis Körb.","Acarosporaceae","CNALH","species","lichen","lichen"
"biapru","Biatorella pruinosa (Körb.) Mudd","synonym","Sarcogyne regularis Körb.","Acarosporaceae","CNALH","species","lichen","lichen"
"acorus","Acorus L.","accepted","Acorus L.","Acoraceae","FNA","genus","monocot","forb"
"acoame","Acorus americanus (Raf.) Raf.","accepted","Acorus americanus (Raf.) Raf.","Acoraceae","FNA","species","monocot","forb"
"acocal1","Acorus calamus L.","name misapplied","Acorus americanus (Raf.) Raf.","Acoraceae","FNA","species","monocot","forb"
"acocalvame","Acorus calamus var. americanus (Raf.) H.D. Wulff.","synonym","Acorus americanus (Raf.) Raf.","Acoraceae","FNA","species","monocot","forb"
"acrobo","Acrobolbus Nees","accepted","Acrobolbus Nees","Acroboldaceae","Stotler & Crandall-Stotler 2017","genus","liverwort","liverwort"
"marsup2","Marsupidium Mitt.","synonym","Acrobolbus Nees","Acroboldaceae","Stotler & Crandall-Stotler 2017","genus","liverwort","liverwort"
"tylima","Tylimanthus Mitt.","synonym","Acrobolbus Nees","Acroboldaceae","Stotler & Crandall-Stotler 2017","genus","liverwort","liverwort"
"acrcil","Acrobolbus ciliatus (Mitt.) Schiffn.","accepted","Acrobolbus ciliatus (Mitt.) Schiffn.","Acroboldaceae","Stotler & Crandall-Stotler 2017","species","liverwort","liverwort"
"acrrhi","Acrobolbus rhizophyllus Sharp","synonym","Acrobolbus ciliatus (Mitt.) Schiffn.","Acroboldaceae","Stotler & Crandall-Stotler 2017","species","liverwort","liverwort"
"gymcil","Gymnanthe ciliata Mitt.","synonym","Acrobolbus ciliatus (Mitt.) Schiffn.","Acroboldaceae","Stotler & Crandall-Stotler 2017","species","liverwort","liverwort"
"syzygi","Syzygiella Spruce","accepted","Syzygiella Spruce","Adelanthaceae","Stotler & Crandall-Stotler 2017","genus","liverwort","liverwort"
"jameso","Jamesoniella (Spruce) F. Lees","synonym","Syzygiella Spruce","Adelanthaceae","Stotler & Crandall-Stotler 2017","genus","liverwort","liverwort"
"syzaut","Syzygiella autumnalis (DC.) K. Feldberg, Vána, Hentschel & Heinrichs","accepted","Syzygiella autumnalis (DC.) K. Feldberg, Vána, Hentschel & Heinrichs","Adelanthaceae","Stotler & Crandall-Stotler 2017","species","liverwort","liverwort"
"croaut","Crossogyna autumnalis (DC.) Schljakov","synonym","Syzygiella autumnalis (DC.) K. Feldberg, Vána, Hentschel & Heinrichs","Adelanthaceae","Stotler & Crandall-Stotler 2017","species","liverwort","liverwort"
"jamaut","Jamesoniella autumnalis (DC.) Steph.","synonym","Syzygiella autumnalis (DC.) K. Feldberg, Vána, Hentschel & Heinrichs","Adelanthaceae","Stotler & Crandall-Stotler 2017","species","liverwort","liverwort"
"jamautvhet","Jamesoniella autumnalis var. heterostipa (A. Evans) Frye & L. Clark","synonym","Syzygiella autumnalis (DC.) K. Feldberg, Vána, Hentschel & Heinrichs","Adelanthaceae","Stotler & Crandall-Stotler 2017","species","liverwort","liverwort"
"jamautvmyr","Jamesoniella autumnalis var. myriocarpa Brinkm.","synonym","Syzygiella autumnalis (DC.) K. Feldberg, Vána, Hentschel & Heinrichs","Adelanthaceae","Stotler & Crandall-Stotler 2017","species","liverwort","liverwort"
"jamhet","Jamesoniella heterostipa A. Evans","synonym","Syzygiella autumnalis (DC.) K. Feldberg, Vána, Hentschel & Heinrichs","Adelanthaceae","Stotler & Crandall-Stotler 2017","species","liverwort","liverwort"
"junaut","Jungermannia autumnalis DC.","synonym","Syzygiella autumnalis (DC.) K. Feldberg, Vána, Hentschel & Heinrichs","Adelanthaceae","Stotler & Crandall-Stotler 2017","species","liverwort","liverwort"
"adeloc","Adelococcus Theiss. & Syd.","accepted","Adelococcus Theiss. & Syd.","Adelococcaceae","Dillman et al. 2012","genus","lichen","lichen"
"adealp","Adelococcus alpestris (Zopf) Theiss. & Syd.","accepted","Adelococcus alpestris (Zopf) Theiss. & Syd.","Adelococcaceae","Dillman et al. 2012","species","lichen","lichen"
"sagediop","Sagediopsis (Sacc.) Vain.","accepted","Sagediopsis (Sacc.) Vain.","Adelococcaceae","CNALH","genus","lichen","lichen"
"sagcam","Sagediopsis campsteriana (Linds.) D. Hawksw. & R. Sant.","accepted","Sagediopsis campsteriana (Linds.) D. Hawksw. & R. Sant.","Adelococcaceae","CNALH","species","lichen","lichen"
"saglom","Sagediopsis lomnitzensis (Stein) Orange","accepted","Sagediopsis lomnitzensis (Stein) Orange","Adelococcaceae","Spribille et al. 2010","species","lichen","lichen"
"adoxa","Adoxa L.","accepted","Adoxa L.","Adoxaceae","PAFC","genus","eudicot","forb"
"adomos","Adoxa moschatellina L.","accepted","Adoxa moschatellina L.","Adoxaceae","PAFC","species","eudicot","forb"
"sambuc","Sambucus L.","accepted","Sambucus L.","Adoxaceae","PAFC","genus","eudicot","shrub"
"samrac","Sambucus racemosa L.","accepted","Sambucus racemosa L.","Adoxaceae","PAFC","species","eudicot","shrub"
"samcal","Sambucus callicarpa Greene","synonym","Sambucus racemosa L.","Adoxaceae","PAFC","species","eudicot","shrub"
"sammic","Sambucus microbotrys Rydb.","synonym","Sambucus racemosa L.","Adoxaceae","PAFC","species","eudicot","shrub"
"sampub","Sambucus pubens Michx.","synonym","Sambucus racemosa L.","Adoxaceae","PAFC","species","eudicot","shrub"
"samracspub","Sambucus racemosa ssp. pubens (Michx.) Hultén","synonym","Sambucus racemosa L.","Adoxaceae","PAFC","species","eudicot","shrub"
"viburn","Viburnum L.","accepted","Viburnum L.","Adoxaceae","PAFC","genus","eudicot","shrub"
"vibedu","Viburnum edule (Michx.) Raf.","accepted","Viburnum edule (Michx.) Raf.","Adoxaceae","PAFC","species","eudicot","shrub"
"vibpau","Viburnum pauciflorum La Pylaie ex Torr. & A. Gray","synonym","Viburnum edule (Michx.) Raf.","Adoxaceae","PAFC","species","eudicot","shrub"
"vibopu","Viburnum opulus L.","accepted","Viburnum opulus L.","Adoxaceae","AKEPIC 2020","species","eudicot","shrub"
"agyriu","Agyrium Fr.","accepted","Agyrium Fr.","Agyriaceae","McCune et al. 2018","genus","lichen","lichen"
"agyruf","Agyrium rufum (Pers.) Fr.","accepted","Agyrium rufum (Pers.) Fr.","Agyriaceae","McCune et al. 2018","species","lichen","lichen"
"anzina","Anzina Scheid.","accepted","Anzina Scheid.","Agyriaceae","Spribille et al. 2010","genus","lichen","lichen"
"anzcar","Anzina carneonivea (Anzi) Scheid.","accepted","Anzina carneonivea (Anzi) Scheid.","Agyriaceae","Spribille et al. 2010","species","lichen","lichen"
"anzcarvtet","Anzina carneonivea var. tetraspora Scheid.","accepted","Anzina carneonivea var. tetraspora Scheid.","Agyriaceae","Spribille et al. 2010","variety","lichen","lichen"
"alisma","Alisma L.","accepted","Alisma L.","Alismataceae","FNA","genus","monocot","forb"
"alitri","Alisma triviale Pursh","accepted","Alisma triviale Pursh","Alismataceae","FNA","species","monocot","forb"
"alipla","Alisma plantago-aquatica L.","name misapplied","Alisma triviale Pursh","Alismataceae","FNA","species","monocot","forb"
"alibre1","Alisma brevipes Greene","synonym","Alisma triviale Pursh","Alismataceae","FNA","species","monocot","forb"
"aliplasbre","Alisma plantago-aquatica ssp. brevipes (Greene) Sam.","synonym","Alisma triviale Pursh","Alismataceae","FNA","species","monocot","forb"
"aliplavame","Alisma plantago-aquatica var. americanum Schult.","synonym","Alisma triviale Pursh","Alismataceae","FNA","species","monocot","forb"
"aliplavbre","Alisma plantago-aquatica var. brevipes (Greene) Vict.","synonym","Alisma triviale Pursh","Alismataceae","FNA","species","monocot","forb"
"sagitt","Sagittaria L.","accepted","Sagittaria L.","Alismataceae","FNA","genus","monocot","forb"
"sagcun","Sagittaria cuneata E. Sheld.","accepted","Sagittaria cuneata E. Sheld.","Alismataceae","FNA","species","monocot","forb"
"sagari","Sagittaria arifolia Nutt. ex J.G. Sm.","synonym","Sagittaria cuneata E. Sheld.","Alismataceae","FNA","species","monocot","forb"
"allium","Allium L.","accepted","Allium L.","Alliaceae","PAFC","genus","monocot","forb"
"allsch","Allium schoenoprasum L.","accepted","Allium schoenoprasum L.","Alliaceae","PAFC","species","monocot","forb"
"allschssib","Allium schoenoprasum ssp. sibiricum (L.) Celak.","synonym","Allium schoenoprasum L.","Alliaceae","PAFC","species","monocot","forb"
"allschvlau","Allium schoenoprasum var. laurentianum Fernald","synonym","Allium schoenoprasum L.","Alliaceae","PAFC","species","monocot","forb"
"allschvsib","Allium schoenoprasum var. sibiricum (L.) Hartm.","synonym","Allium schoenoprasum L.","Alliaceae","PAFC","species","monocot","forb"
"allsib","Allium sibiricum L.","synonym","Allium schoenoprasum L.","Alliaceae","PAFC","species","monocot","forb"
"allvic","Allium victorialis L.","accepted","Allium victorialis L.","Alliaceae","FNA","species","monocot","forb"
"allvicspla","Allium victorialis ssp. platyphyllum Hultén","synonym","Allium victorialis L.","Alliaceae","FNA","species","monocot","forb"
"amaran","Amaranthus L.","accepted","Amaranthus L.","Amaranthaceae","PAFC","genus","eudicot","forb"
"amaalb","Amaranthus albus L.","accepted","Amaranthus albus L.","Amaranthaceae","FNA","species","eudicot","forb"
"amaalbvpub","Amaranthus albus var. pubescens (Uline & Bray) Fernald","synonym","Amaranthus albus L.","Amaranthaceae","FNA","species","eudicot","forb"
"amagravpub","Amaranthus graecizans var. pubescens Uline & Bray","synonym","Amaranthus albus L.","Amaranthaceae","FNA","species","eudicot","forb"
"amapub","Amaranthus pubescens (Uline & Bray) Rydb.","synonym","Amaranthus albus L.","Amaranthaceae","FNA","species","eudicot","forb"
"amaret","Amaranthus retroflexus L.","accepted","Amaranthus retroflexus L.","Amaranthaceae","FNA","species","eudicot","forb"
"amaretvsal","Amaranthus retroflexus var. salicifolius I.M. Johnst.","synonym","Amaranthus retroflexus L.","Amaranthaceae","FNA","species","eudicot","forb"
"atripl","Atriplex L.","accepted","Atriplex L.","Amaranthaceae","PAFC","genus","eudicot","forb"
"atrgme","Atriplex gmelinii C.A. Mey.","accepted","Atriplex gmelinii C.A. Mey.","Amaranthaceae","PAFC","species","eudicot","forb"
"atrgmevala","Atriplex gmelinii var. alaskensis (S. Watson) S.L. Welsh","accepted","Atriplex gmelinii var. alaskensis (S. Watson) S.L. Welsh","Amaranthaceae","FNA","variety","eudicot","forb"
"atrala","Atriplex alaskensis S. Watson","synonym","Atriplex gmelinii var. alaskensis (S. Watson) S.L. Welsh","Amaranthaceae","FNA","variety","eudicot","forb"
"atrpatsala","Atriplex patula ssp. alaskensis (S. Watson) H.M. Hall & Clements","synonym","Atriplex gmelinii var. alaskensis (S. Watson) S.L. Welsh","Amaranthaceae","FNA","variety","eudicot","forb"
"atrpatvala","Atriplex patula var. alaskensis (S. Watson) S.L. Welsh","synonym","Atriplex gmelinii var. alaskensis (S. Watson) S.L. Welsh","Amaranthaceae","FNA","variety","eudicot","forb"
"atrgmevgme","Atriplex gmelinii var. gmelinii C.A. Mey.","accepted","Atriplex gmelinii var. gmelinii C.A. Mey.","Amaranthaceae","PAFC","variety","eudicot","forb"
"atrdry","Atriplex drymarioides Standl.","synonym","Atriplex gmelinii var. gmelinii C.A. Mey.","Amaranthaceae","PAFC","variety","eudicot","forb"
"atrgmesgme","Atriplex gmelinii ssp. gmelinii C.A. Mey.","synonym","Atriplex gmelinii var. gmelinii C.A. Mey.","Amaranthaceae","PAFC","variety","eudicot","forb"
"atrgmevzos","Atriplex gmelinii var. zosterifolia (Hook.) Moq.","synonym","Atriplex gmelinii var. gmelinii C.A. Mey.","Amaranthaceae","PAFC","variety","eudicot","forb"
"atrpatsobt","Atriplex patula ssp. obtusa (Cham.) H.M. Hall & Clem.","synonym","Atriplex gmelinii var. gmelinii C.A. Mey.","Amaranthaceae","PAFC","variety","eudicot","forb"
"atrpatszos","Atriplex patula ssp. zosterifolia (Hook.) H.M. Hall & Clements","synonym","Atriplex gmelinii var. gmelinii C.A. Mey.","Amaranthaceae","PAFC","variety","eudicot","forb"
"atrpatvobt","Atriplex patula var. obtusa (Cham.) M. Peck","synonym","Atriplex gmelinii var. gmelinii C.A. Mey.","Amaranthaceae","PAFC","variety","eudicot","forb"
"atrpatvzos","Atriplex patula var. zosterifolia (Hook.) C.L. Hitchc.","synonym","Atriplex gmelinii var. gmelinii C.A. Mey.","Amaranthaceae","PAFC","variety","eudicot","forb"
"atrzos","Atriplex zosterifolia Hook.","synonym","Atriplex gmelinii var. gmelinii C.A. Mey.","Amaranthaceae","PAFC","variety","eudicot","forb"
"atrhor","Atriplex hortensis L.","historical","Atriplex hortensis L.","Amaranthaceae","FNA","species","eudicot","forb"
"atracu","Atriplex acuminata Waldst. & Kit.","synonym","Atriplex hortensis L.","Amaranthaceae","FNA","species","eudicot","forb"
"atrhorsnit","Atriplex hortensis ssp. nitens (Schkuhr.) E. Pons","synonym","Atriplex hortensis L.","Amaranthaceae","FNA","species","eudicot","forb"
"atrnit","Atriplex nitens Schkuhr.","synonym","Atriplex hortensis L.","Amaranthaceae","FNA","species","eudicot","forb"
"atrpat","Atriplex patula L.","accepted","Atriplex patula L.","Amaranthaceae","FNA","species","eudicot","forb"
"atrhasspat","Atriplex hastata ssp. patula (L.) S. Pons","synonym","Atriplex patula L.","Amaranthaceae","FNA","species","eudicot","forb"
"atrhasvpat","Atriplex hastata var. patula (L.) Farw.","synonym","Atriplex patula L.","Amaranthaceae","FNA","species","eudicot","forb"
"atrpatvpat","Atriplex patula var. patula L.","synonym","Atriplex patula L.","Amaranthaceae","FNA","species","eudicot","forb"
"axyris","Axyris L.","accepted","Axyris L.","Amaranthaceae","FNA","genus","eudicot","forb"
"axyama","Axyris amaranthoides L.","accepted","Axyris amaranthoides L.","Amaranthaceae","FNA","species","eudicot","forb"
"blitum","Blitum L.","accepted","Blitum L.","Amaranthaceae","Fuentes-Bazan et al. 2012b","genus","eudicot","forb"
"moroca","Morocarpus Boehmer","synonym","Blitum L.","Amaranthaceae","Fuentes-Bazan et al. 2012b","genus","eudicot","forb"
"blicap","Blitum capitatum L.","accepted","Blitum capitatum L.","Amaranthaceae","Fuentes-Bazan et al. 2012b","species","eudicot","forb"
"checap1","Chenopodium capitatum (L.) Ambrosi","synonym","Blitum capitatum L.","Amaranthaceae","Fuentes-Bazan et al. 2012b","species","eudicot","forb"
"blicapscap","Blitum capitatum ssp. capitatum (L.) Ambrosi","accepted","Blitum capitatum ssp. capitatum (L.) Ambrosi","Amaranthaceae","Mosyakin 2013","subspecies","eudicot","forb"
"blicapvcap","Blitum capitatum var. capitatum (L.) Ambrosi","synonym","Blitum capitatum ssp. capitatum (L.) Ambrosi","Amaranthaceae","Mosyakin 2013","subspecies","eudicot","forb"
"checapvcap","Chenopodium capitatum var. capitatum (L.) Ambrosi","synonym","Blitum capitatum ssp. capitatum (L.) Ambrosi","Amaranthaceae","Mosyakin 2013","subspecies","eudicot","forb"
"chenopos","Chenopodiastrum S. Fuentes, Uotila & Borsch","accepted","Chenopodiastrum S. Fuentes, Uotila & Borsch","Amaranthaceae","Fuentes-Bazan et al. 2012b","genus","eudicot","forb"
"chesim","Chenopodiastrum simplex (Torr.) S. Fuentes, Uotila & Borsch","accepted","Chenopodiastrum simplex (Torr.) S. Fuentes, Uotila & Borsch","Amaranthaceae","Fuentes-Bazan et al. 2012b","species","eudicot","forb"
"chegig","Chenopodium gigantospermum Aellen","synonym","Chenopodiastrum simplex (Torr.) S. Fuentes, Uotila & Borsch","Amaranthaceae","Fuentes-Bazan et al. 2012b","species","eudicot","forb"
"chehybsgig1","Chenopodium hybridum ssp. giganthospermum (Aellen) Hultén","synonym","Chenopodiastrum simplex (Torr.) S. Fuentes, Uotila & Borsch","Amaranthaceae","Fuentes-Bazan et al. 2012b","species","eudicot","forb"
"chehybsgig2","Chenopodium hybridum ssp. gigantospermum (Aellen) Hultén","synonym","Chenopodiastrum simplex (Torr.) S. Fuentes, Uotila & Borsch","Amaranthaceae","Fuentes-Bazan et al. 2012b","species","eudicot","forb"
"chehybvgig","Chenopodium hybridum var. gigantospermum (Aellen) Rouleau","synonym","Chenopodiastrum simplex (Torr.) S. Fuentes, Uotila & Borsch","Amaranthaceae","Fuentes-Bazan et al. 2012b","species","eudicot","forb"
"chehybvsim","Chenopodium hybridum var. simplex Torr.","synonym","Chenopodiastrum simplex (Torr.) S. Fuentes, Uotila & Borsch","Amaranthaceae","Fuentes-Bazan et al. 2012b","species","eudicot","forb"
"chesim2","Chenopodium simplex (Torr.) Raf.","synonym","Chenopodiastrum simplex (Torr.) S. Fuentes, Uotila & Borsch","Amaranthaceae","Fuentes-Bazan et al. 2012b","species","eudicot","forb"
"chenopod","Chenopodium L.","accepted","Chenopodium L.","Amaranthaceae","Fuentes-Bazan et al. 2012b","genus","eudicot","forb"
"vulvar","Vulvaria Bubani","synonym","Chenopodium L.","Amaranthaceae","Fuentes-Bazan et al. 2012b","genus","eudicot","forb"
"chealb","Chenopodium album L.","accepted","Chenopodium album L.","Amaranthaceae","Fuentes-Bazan et al. 2012a","species","eudicot","forb"
"chealbvalb","Chenopodium album var. album L.","synonym","Chenopodium album L.","Amaranthaceae","Fuentes-Bazan et al. 2012a","species","eudicot","forb"
